imperative,je,tu,il,nous,vous,ils,english
ALLER,vais,vas,va,allons,allez,vont,
DITE,dis,dis,dit,disons,dites,disent,
FAIRE,fais,fais,fait,faisons,faites,font,
PARTIR,pars,pars,part,partons,partez,partent,
RIRE,ris,ris,rit,rions,riez,rient,
PRENDRE,prends,prends,prend,prenons,prenez,prennent,
VENIR,viens,viens,vient,venons,venez,viennent,to come
VOIR,vois,vois,voit,voyons,voyez,voient,
POUVOIR,peux,peux,peut,pouvons,pouvez,peuvent,
VOULOIR,veux,veux,veut,voulons,voulez,veulent,
SAVOIR,sais,sais,sait,savons,savez,savent,
CONNAITRE,connais,connais,connait,connaissons,connaissez,connaissent,
METTRE,mets,mets,met,mettons,mettez,mettent,to put
OUVRIR,ouvre,ouvres,ouvre,ouvrons,ouvrez,ouvrent,
CONDUIRE,conduis,conduis,conduit,conduisons,conduisez,conduisent,to drive
ENTENDRE,entends,entends,entend,entendons,entendez,entendent,to hear
ECRIRE [é],écris,écris,écrit,écrivons,écrivez,écrivent,
MOURIR,meurs,meurs,meurt,mourons,mourez,meurent,
COURIR,cours,cours,court,courons,courez,courent,to run
DEVOIR,dois,dois,doit,devons,devez,doivent,
RECEVOIR [ç],reçois,reçois,reçoit,recevons,recevez,reçoivent,to receive
SUIVRE,suis,suis,suit,suivons,suivez,suivent,to follow
CRAINDRE,crains,crains,craint,craignons,craignez,craignent,to fear
LIRE,lis,lis,lit,lisons,lisez,lisent,
BOIRE,bois,bois,boit,buvons,buvez,boivent,
S’ASSEOIR,m'assois,t'assois,s'assoit,assoyons,assoyez,assoient,to sit down
FALLOIR,x,x,faut,x,x,x,obligation
PLEUVOIR,x,x,pleut,x,x,x,
